mz	name
493.2901	LPG-O_16:0_[M+Na]1+
493.4251	DG_28:1_[M+H-H2O]1+
494.3241	LPC_16:1_[M+H]1+ / LPE_19:1_[M+H]1+
494.3605	LPC-P_17:0_[M+H]1+ / LPE-P_20:0_[M+H]1+
495.2717	LPG_17:2_[M+H]1+
495.4408	DG_28:0_[M+H-H2O]1+
496.267	LPS_16:1_[M+H]1+
496.3398	LPC_16:0_[M+H]1+ / LPE_19:0_[M+H]1+
496.3762	LPC-2O_17:0_[M+H]1+ / LPE-O_20:0_[M+H]1+
497.2874	LPG_17:1_[M+H]1+
497.3238	LPG-P_18:0_[M+H]1+
498.2826	LPS_16:0_[M+H]1+
498.319	PA_20:0_[M+NH4]1+
499.2667	PG_16:0_[M+H]1+
499.303	LPG_17:0_[M+H]1+
499.3394	LPG-O_18:0_[M+H]1+
500.2772	LPE_20:5_[M+H]1+
500.2983	LPG_16:1_[M+NH4]1+
502.2564	PC_16:2_[M+H]1+
502.2928	LPE_20:4_[M+H]1+
502.3139	LPG_16:0_[M+NH4]1+
502.4466	DG_26:0_[M+NH4]1+
503.2744	PA_20:0_[M+Na]1+
504.2333	LPS_15:1_[M+Na]1+
504.2697	LPS-P_16:0_[M+Na]1+
504.3085	LPE_20:3_[M+H]1+
504.4775	Cer_33:2_[M+H-H2O]1+
505.2537	LPG_16:1_[M+Na]1+
505.2561	LPG_18:4_[M+H]1+
505.4251	DG_29:2_[M+H-H2O]1+
506.2489	LPS_15:0_[M+Na]1+
506.2853	LPS-O_16:0_[M+Na]1+
506.3241	LPC_17:2_[M+H]1+ / LPE_20:2_[M+H]1+
506.3605	LPC-P_18:1_[M+H]1+
506.4568	Cer_32:3_[M+H]1+
506.4932	Cer_33:1_[M+H-H2O]1+
507.2693	LPG_16:0_[M+Na]1+
507.2717	LPG_18:3_[M+H]1+
507.4408	DG_29:1_[M+H-H2O]1+
508.267	LPS_17:2_[M+H]1+
508.3398	LPC_17:1_[M+H]1+ / LPE_20:1_[M+H]1+
508.3762	LPC-O_18:1_[M+H]1+
508.4724	Cer_32:2_[M+H]1+
509.2874	LPG_18:2_[M+H]1+
509.4564	DG_29:0_[M+H-H2O]1+
510.2826	LPS_17:1_[M+H]1+
510.319	PC_16:0_[M+H]1+ / LPS-P_18:0_[M+H]1+
510.3554	PC-O_17:0_[M+H]1+ / LPE_20:0_[M+H]1+
510.3918	LPC-2O_18:0_[M+H]1+
510.4881	Cer_32:1_[M+H]1+
511.303	LPG_18:1_[M+H]1+
512.2619	PS_16:0_[M+H]1+
512.2983	LPS_17:0_[M+H]1+ / LPG_17:2_[M+NH4]1+
512.3347	LPS-O_18:0_[M+H]1+
513.3187	LPG_18:0_[M+H]1+
514.3139	LPG_17:1_[M+NH4]1+
514.3503	LPG-P_18:0_[M+NH4]1+
516.2932	PG_16:0_[M+NH4]1+
516.3085	LPC_18:4_[M+H]1+
516.3296	LPG_17:0_[M+NH4]1+
516.366	LPG-O_18:0_[M+NH4]1+
516.4775	Cer_34:3_[M+H-H2O]1+
517.2408	LPI_12:0_[M+H]1+
517.2537	LPG_17:2_[M+Na]1+
517.4251	DG_30:3_[M+H-H2O]1+
518.2489	LPS_16:1_[M+Na]1+
518.2513	LPS_18:4_[M+H]1+
518.3241	LPC_18:3_[M+H]1+
518.4932	Cer_34:2_[M+H-H2O]1+
519.2693	LPG_17:1_[M+Na]1+
519.3057	LPG-P_18:0_[M+Na]1+
519.4408	DG_30:2_[M+H-H2O]1+
520.2646	LPS_16:0_[M+Na]1+
520.267	LPS_18:3_[M+H]1+
520.3398	LPC_18:2_[M+H]1+
520.3762	LPC-O_19:1_[M+H]1+
520.5088	Cer_34:1_[M+H-H2O]1+
521.2486	PG_16:0_[M+Na]1+
521.285	LPG_17:0_[M+Na]1+
521.3214	LPG-O_18:0_[M+Na]1+
521.4564	DG_30:1_[M+H-H2O]1+
522.2826	LPS_18:2_[M+H]1+ / LPG_18:4_[M+NH4]1+
522.3554	LPC_18:1_[M+H]1+
522.3918	LPC-2O_19:1_[M+H]1+
522.4881	Cer_33:2_[M+H]1+
523.4721	DG_30:0_[M+H-H2O]1+
524.2983	LPS_18:1_[M+H]1+ / LPG_18:3_[M+NH4]1+
524.3347	PE_20:0_[M+H]1+
524.3711	LPC_18:0_[M+H]1+ / LPE_21:0_[M+H]1+
524.4075	LPC-2O_19:0_[M+H]1+
524.5037	Cer_33:1_[M+H]1+
525.3187	LPG_19:1_[M+H]1+
525.3551	LPG-P_20:0_[M+H]1+
526.2928	LPE_22:6_[M+H]1+
526.3139	LPS_18:0_[M+H]1+ / LPG_18:2_[M+NH4]1+
526.4466	DG_28:2_[M+NH4]1+
527.238	LPG_18:4_[M+Na]1+
527.3343	LPG_19:0_[M+H]1+
527.3707	LPG-O_20:0_[M+H]1+
528.3296	LPG_18:1_[M+NH4]1+
528.4623	DG_28:1_[M+NH4]1+
529.2537	LPG_18:3_[M+Na]1+
530.2489	LPS_17:2_[M+Na]1+
530.3241	LPE_22:4_[M+H]1+
530.3452	LPG_18:0_[M+NH4]1+
530.4779	DG_28:0_[M+NH4]1+
530.4932	CE_8:0_[M+NH4]1+
531.2565	LPI_13:0_[M+H]1+
531.2693	LPG_18:2_[M+Na]1+
531.2717	LPG_20:5_[M+H]1+
531.4408	DG_31:3_[M+H-H2O]1+
532.2646	LPS_17:1_[M+Na]1+
532.301	LPS-P_18:0_[M+Na]1+
532.3398	LPC_19:3_[M+H]1+
532.5088	Cer_35:2_[M+H-H2O]1+
533.285	LPG_18:1_[M+Na]1+
533.2874	LPG_20:4_[M+H]1+
533.4564	DG_31:2_[M+H-H2O]1+
534.2439	PS_16:0_[M+Na]1+
534.2674	LPI_12:0_[M+NH4]1+
534.2802	LPS_17:0_[M+Na]1+
534.3166	LPS-O_18:0_[M+Na]1+
534.3554	LPE_22:2_[M+H]1+
534.4881	Cer_34:3_[M+H]1+
534.5245	Cer_35:1_[M+H-H2O]1+
535.3006	LPG_18:0_[M+Na]1+
535.303	LPG_20:3_[M+H]1+
535.4486	CE_8:0_[M+Na]1+
535.4721	DG_31:1_[M+H-H2O]1+
536.3347	PC_18:1_[M+H]1+
536.3711	PC-O_19:1_[M+H]1+ / LPE_22:1_[M+H]1+
536.4075	LPC-2O_20:1_[M+H]1+
536.5037	Cer_34:2_[M+H]1+
537.3187	LPG_20:2_[M+H]1+
537.4877	DG_31:0_[M+H-H2O]1+
538.3139	LPS_19:1_[M+H]1+
538.3503	PC_18:0_[M+H]1+ / LPS-P_20:0_[M+H]1+
538.3867	PC-O_19:0_[M+H]1+ / LPE_22:0_[M+H]1+
538.4231	LPC-2O_20:0_[M+H]1+
538.5194	Cer_34:1_[M+H]1+
539.2228	LPI_12:0_[M+Na]1+
539.3343	LPG_20:1_[M+H]1+
540.2333	LPS_18:4_[M+Na]1+
540.3296	LPS_19:0_[M+H]1+
540.366	LPS-O_20:0_[M+H]1+
540.4623	DG_29:2_[M+NH4]1+
541.35	LPG_20:0_[M+H]1+
541.4251	DG_32:5_[M+H-H2O]1+
542.2489	LPS_18:3_[M+Na]1+
542.3241	LPC_20:5_[M+H]1+
542.3452	LPG_19:1_[M+NH4]1+
542.3816	LPG-P_20:0_[M+NH4]1+
542.4779	DG_29:1_[M+NH4]1+
543.2565	LPI_14:1_[M+H]1+
543.4408	DG_32:4_[M+H-H2O]1+
544.2646	LPS_18:2_[M+Na]1+
544.267	LPS_20:5_[M+H]1+
544.3398	LPC_20:4_[M+H]1+
544.3609	LPG_19:0_[M+NH4]1+
544.3973	LPG-O_20:0_[M+NH4]1+
544.4936	DG_29:0_[M+NH4]1+
544.5088	Cer_36:3_[M+H-H2O]1+
545.2721	LPI_14:0_[M+H]1+
545.4564	DG_32:3_[M+H-H2O]1+
546.2802	LPS_18:1_[M+Na]1+
546.2826	LPS_20:4_[M+H]1+
546.3554	LPC_20:3_[M+H]1+
546.5245	Cer_36:2_[M+H-H2O]1+
547.3006	LPG_19:1_[M+Na]1+
547.337	LPG-P_20:0_[M+Na]1+
547.4721	DG_32:2_[M+H-H2O]1+
548.283	LPI_13:0_[M+NH4]1+
548.2959	LPS_18:0_[M+Na]1+
548.2983	LPS_20:3_[M+H]1+ / LPG_20:5_[M+NH4]1+
548.3711	PC-O_20:2_[M+H]1+
548.5401	Cer_36:1_[M+H-H2O]1+
548.684	2H-IS_Cer_[M+H - H2O]1+
549.3163	LPG_19:0_[M+Na]1+
549.3527	LPG-O_20:0_[M+Na]1+
549.4877	DG_32:1_[M+H-H2O]1+
549.6898	2H-IS_Cer_[M+H - H2O]1+
550.3139	LPS_20:2_[M+H]1+ / LPG_20:4_[M+NH4]1+
550.3503	PC_19:1_[M+H]1+
550.3867	PC-O_20:1_[M+H]1+
550.5194	Cer_35:2_[M+H]1+
550.6952	2H-IS_Cer_[M+H - H2O]1+
551.5034	DG_32:0_[M+H-H2O]1+
551.7009	2H-IS_Cer_[M+H - H2O]1+
552.3296	LPS_20:1_[M+H]1+ / LPG_20:3_[M+NH4]1+
552.366	PC_19:0_[M+H]1+
552.4024	PC-O_20:0_[M+H]1+
552.4388	LPC-2O_21:0_[M+H]1+
552.4623	DG_30:3_[M+NH4]1+
552.535	Cer_35:1_[M+H]1+
552.7059	2H-IS_Cer_[M+H - H2O]1+
553.2384	LPI_13:0_[M+Na]1+
553.2537	LPG_20:5_[M+Na]1+
554.3452	LPS_20:0_[M+H]1+ / LPG_20:2_[M+NH4]1+
554.3816	PA_24:0_[M+NH4]1+
554.4779	DG_30:2_[M+NH4]1+
555.2693	LPG_20:4_[M+Na]1+
555.3293	PG_20:0_[M+H]1+
555.3656	LPG_21:0_[M+H]1+
555.4408	DG_33:5_[M+H-H2O]1+
556.3609	LPG_20:1_[M+NH4]1+
556.4936	DG_30:1_[M+NH4]1+
557.2721	LPI_15:1_[M+H]1+
557.285	LPG_20:3_[M+Na]1+
557.2874	LPG_22:6_[M+H]1+
557.3085	LPI-P_16:0_[M+H]1+
557.4564	DG_33:4_[M+H-H2O]1+
558.319	PC_20:4_[M+H]1+
558.3554	LPC_21:4_[M+H]1+
558.3765	LPG_20:0_[M+NH4]1+
558.5092	DG_30:0_[M+NH4]1+
558.5245	CE_10:0_[M+NH4]1+
559.2878	LPI_15:0_[M+H]1+
559.3006	LPG_20:2_[M+Na]1+
559.3242	LPI-O_16:0_[M+H]1+
559.337	PA_24:0_[M+Na]1+
559.4721	DG_33:3_[M+H-H2O]1+
560.283	LPI_14:1_[M+NH4]1+
560.2959	LPS_19:1_[M+Na]1+
560.3323	LPS-P_20:0_[M+Na]1+
560.5401	Cer_37:2_[M+H-H2O]1+
561.3163	LPG_20:1_[M+Na]1+
561.3187	LPG_22:4_[M+H]1+
561.4877	DG_33:2_[M+H-H2O]1+
562.2987	LPI_14:0_[M+NH4]1+
562.3115	LPS_19:0_[M+Na]1+
562.3479	LPS-O_20:0_[M+Na]1+
562.5194	Cer_36:3_[M+H]1+
562.5558	Cer_37:1_[M+H-H2O]1+
563.3319	LPG_20:0_[M+Na]1+
563.4799	CE_10:0_[M+Na]1+
563.5034	DG_33:1_[M+H-H2O]1+
564.366	PC_20:1_[M+H]1+
564.4024	PC-O_21:1_[M+H]1+
564.535	Cer_36:2_[M+H]1+
565.2384	LPI_14:1_[M+Na]1+
565.35	LPG_22:2_[M+H]1+
565.519	DG_33:0_[M+H-H2O]1+
565.6887	2H-IS_Cer_[M+H]1+
566.2489	LPS_20:5_[M+Na]1+
566.3816	PC_20:0_[M+H]1+ / PE_23:0_[M+H]1+
566.418	PC-O_21:0_[M+H]1+
566.4779	DG_31:3_[M+NH4]1+
566.5507	Cer_36:1_[M+H]1+
566.6943	2H-IS_Cer_[M+H]1+
567.2541	LPI_14:0_[M+Na]1+
567.3656	LPG_22:1_[M+H]1+
567.4408	DG_34:6_[M+H-H2O]1+
567.7001	2H-IS_Cer_[M+H]1+
568.2646	LPS_20:4_[M+Na]1+
568.3245	PS_20:0_[M+H]1+
568.3398	LPC_22:6_[M+H]1+
568.3609	LPS_21:0_[M+H]1+
568.3973	PA_25:0_[M+NH4]1+
568.4936	DG_31:2_[M+NH4]1+
568.7056	2H-IS_Cer_[M+H]1+
569.3813	LPG_22:0_[M+H]1+
569.4564	DG_34:5_[M+H-H2O]1+
569.7111	2H-IS_Cer_[M+H]1+
570.2802	LPS_20:3_[M+Na]1+
570.2826	LPS_22:6_[M+H]1+
570.5092	DG_31:1_[M+NH4]1+
570.716	2H-IS_Cer_[M+H]1+
571.2878	LPI_16:1_[M+H]1+
571.4721	DG_34:4_[M+H-H2O]1+
571.7204	2H-IS_Cer_[M+H]1+
572.2959	LPS_20:2_[M+Na]1+
572.3558	PG_20:0_[M+NH4]1+
572.3711	LPC_22:4_[M+H]1+
572.3922	LPG_21:0_[M+NH4]1+
572.4885	TG_30:0_[M+NH4]1+
572.5249	DG_31:0_[M+NH4]1+
572.5401	Cer_38:3_[M+H-H2O]1+
