mz	name
372.1793	LPC-2O_4:0_[M+OAC]1-
375.2905	BA(LCA)_[M-H]1-
376.0934	PC_4:0_[M+Cl]1-
376.1297	LPC_5:0_[M+Cl]1-
376.2624	Cer_20:1_[M+Cl]1-
377.2697	EIC(C23H38O4)_[M-H]1-
379.249	EIC(C22H36O5)_[M-H]1-
381.2646	EIC(C22H38O5)_[M-H]1-
385.1868	OCT(C19H30O8)_[M-H]1-
386.1585	PC-O_4:0_[M+OAC]1-
386.1949	LPC_O-5:0_[M+OAC]1-
389.1817	OCT(C18H30O9)_[M-H]1-
389.2333	EIC(C23H34O5)_[M-H]1-
390.1454	LPC_6:0_[M+Cl]1-
391.2854	BA(DCA)_[M-H]1-
395.2439	EIC(C22H36O6)_[M-H]1-
395.2803	EIC(C23H40O5)_[M-H]1-
396.2157	LPE_12:0_[M-H]1-
400.1378	PC_4:0_[M+OAC]1-
400.1742	LPC_5:0_[M+OAC]1-
400.3068	Cer_20:1_[M+OAC]1-
401.2181	EIC(C20H34O8)_[M-H]1-
404.1247	PC_6:0_[M+Cl]1-
404.161	LPC_7:0_[M+Cl]1-
407.2803	BA(CA)_[M-H]1-
409.2596	EIC(C23H38O6)_[M-H]1-
410.1949	PE_12:0_[M-H]1-
410.2313	LPE_13:0_[M-H]1-
414.1898	LPC_6:0_[M+OAC]1-
417.301	EIC(C26H42O4)_[M-H]1-
418.1767	LPC_8:0_[M+Cl]1-
422.2313	LPE_14:1_[M-H]1-
423.2153	PA_16:0_[M-H]1-
424.247	LPE_14:0_[M-H]1-
427.2102	LPG_12:0_[M-H]1-
427.2701	EIC(C23H40O7)_[M-H]1-
428.1691	PC_6:0_[M+OAC]1-
428.2055	LPC_7:0_[M+OAC]1-
430.2131	LPC_O-10:1_[M+Cl]1-
432.156	PC_8:0_[M+Cl]1-
432.1923	LPC_9:0_[M+Cl]1-
436.247	LPE_15:1_[M-H]1-
436.2833	LPE-P_16:0_[M-H]1-
438.2626	LPE_15:0_[M-H]1-
438.299	LPE-O_16:0_[M-H]1-
440.2055	LPS_12:0_[M-H]1-
441.1895	PG_12:0_[M-H]1-
441.2259	LPG_13:0_[M-H]1-
442.2211	LPC_8:0_[M+OAC]1-
443.265	EIC(C23H40O8)_[M-H]1-
446.208	PC-O_10:0_[M+Cl]1-
448.3068	BA(GDCA)_[M-H]1-
450.2626	LPE_16:1_[M-H]1-
452.2783	LPE_16:0_[M-H]1-
453.2259	LPG_14:1_[M-H]1-
454.1848	PS_12:0_[M-H]1-
454.2211	LPS_13:0_[M-H]1-
454.2575	LPC_O-10:1_[M+OAC]1-
455.2415	LPG_14:0_[M-H]1-
456.2004	PC_8:0_[M+OAC]1-
456.2368	LPC_9:0_[M+OAC]1-
460.1873	PC_10:0_[M+Cl]1-
460.2236	LPC_11:0_[M+Cl]1-
460.26	LPC-2O_12:0_[M+Cl]1-
462.2626	LPE_17:2_[M-H]1-
464.2783	LPE_17:1_[M-H]1-
464.3018	BA(GCA)_[M-H]1-
464.3146	LPE-O_18:1_[M-H]1-
466.2211	LPS_14:1_[M-H]1-
466.2575	PE_16:0_[M-H]1-
466.2939	LPE_17:0_[M-H]1-
466.3303	LPE-O_18:0_[M-H]1-
467.2415	LPG_15:1_[M-H]1-
467.2779	LPG-P_16:0_[M-H]1-
468.2368	LPS_14:0_[M-H]1-
